epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1.6133,3.6114,2.2135,0.34405,0.57888,0.2253,0.2314,1.6908,3.9402,2.2526,0.01013111,0.01013111,0.01013111
22,1.634,3.6018,2.1866,0.36745,0.57633,0.2413,0.24134,1.6785,3.9041,2.2195,0.00975354,0.00975354,0.00975354
23,1.6057,3.518,2.2498,0.39021,0.56919,0.25647,0.25231,1.6527,3.9625,2.2129,0.00997442,0.00997442,0.00997442
24,1.5865,3.4694,2.1805,0.40322,0.56485,0.26112,0.26602,1.6453,3.9645,2.1511,0.01012764,0.01012764,0.01012764
25,1.5856,3.392,2.1567,0.42478,0.54479,0.25986,0.27934,1.6176,3.95,2.1316,0.01000548,0.01000548,0.01000548
26,1.5398,3.4004,2.1321,0.45089,0.5493,0.27836,0.29154,1.6476,3.8898,2.0946,0.00998458,0.00998458,0.00998458
27,1.5257,3.4079,2.0847,0.45607,0.56422,0.28906,0.30213,1.6241,3.8274,2.0311,0.01001657,0.01001657,0.01001657
28,1.494,3.4533,2.0683,0.46985,0.57453,0.29648,0.31777,1.6092,3.8253,2.0264,0.00988073,0.00988073,0.00988073
29,1.463,3.3558,2.0619,0.48562,0.60887,0.31132,0.32743,1.5834,3.7788,1.995,0.01003799,0.01003799,0.01003799
30,1.466,3.3535,2.0156,0.48943,0.6277,0.30994,0.34474,1.5409,3.7108,1.9573,0.00988497,0.00988497,0.00988497
31,1.4206,3.3158,1.9304,0.52557,0.6339,0.33018,0.35236,1.5279,3.6769,1.996,0.00988556,0.00988556,0.00988556
32,1.4253,3.3916,1.9397,0.54461,0.65883,0.33762,0.35931,1.4955,3.7243,2.0151,0.00998278,0.00998278,0.00998278
33,1.3924,3.3141,1.8868,0.55731,0.69106,0.33823,0.35572,1.51,3.7324,1.9786,0.01007146,0.01007146,0.01007146
34,1.3697,3.3351,1.9196,0.58388,0.72165,0.35126,0.37167,1.4913,3.683,1.9982,0.01007231,0.01007231,0.01007231
35,1.381,3.2731,1.9003,0.61296,0.70719,0.36314,0.38351,1.4865,3.5795,1.9907,0.00995083,0.00995083,0.00995083
36,1.3822,3.2767,1.8821,0.63128,0.69878,0.37505,0.38443,1.4727,3.558,2.0017,0.01002292,0.01002292,0.01002292
37,1.3755,3.2789,1.8983,0.65409,0.70982,0.38377,0.40198,1.4635,3.5399,2.016,0.00999672,0.00999672,0.00999672
38,1.3626,3.1822,1.8599,0.67801,0.7366,0.38443,0.4186,1.4597,3.4853,2.0086,0.00990194,0.00990194,0.00990194
39,1.3219,3.0742,1.8178,0.70183,0.76084,0.40128,0.42837,1.4665,3.4089,1.9808,0.01002774,0.01002774,0.01002774
40,1.3367,3.0107,1.7485,0.71341,0.76471,0.42615,0.43946,1.4687,3.3774,1.9029,0.00985527,0.00985527,0.00985527
41,1.3204,2.9775,1.7504,0.72096,0.7883,0.44716,0.44549,1.4655,3.3526,1.9048,0.00992558,0.00992558,0.00992558
42,1.3079,2.9576,1.7161,0.73413,0.7993,0.47101,0.45152,1.472,3.3077,1.9114,0.00997826,0.00997826,0.00997826
43,1.283,2.9288,1.7207,0.74583,0.8,0.48507,0.4448,1.4511,3.3043,1.871,0.01001415,0.01001415,0.01001415
44,1.3047,2.9007,1.6654,0.77962,0.8,0.49483,0.45298,1.4369,3.2472,1.8914,0.01001755,0.01001755,0.01001755
45,1.349,2.8509,1.6882,0.79068,0.8,0.50628,0.46219,1.4242,3.2633,1.8626,0.00977989,0.00977989,0.00977989
46,1.3508,2.8331,1.6542,0.80182,0.8,0.5301,0.46536,1.4022,3.2384,1.8769,0.00984867,0.00984867,0.00984867
47,1.3711,2.8358,1.6555,0.82441,0.8,0.54991,0.47132,1.3945,3.247,1.8599,0.00992996,0.00992996,0.00992996
48,1.3507,2.8199,1.6177,0.85,0.79936,0.55571,0.47557,1.3708,3.074,1.8486,0.0101422,0.0101422,0.0101422
49,1.298,2.7792,1.6544,0.85,0.78348,0.56174,0.48294,1.3622,2.9464,1.8625,0.01022691,0.01022691,0.01022691
50,1.2848,2.7924,1.5811,0.85412,0.79171,0.56636,0.48709,1.3246,2.9995,1.8623,0.00100391,0.00100391,0.00100391
51,1.2737,2.775,1.5842,0.84439,0.80857,0.57721,0.48692,1.3091,2.9655,1.8418,0.00100384,0.00100384,0.00100384
52,1.2386,2.7919,1.591,0.84448,0.80241,0.57706,0.48971,1.3285,2.8784,1.7945,0.0010103,0.0010103,0.0010103
53,1.2309,2.847,1.5561,0.85314,0.80649,0.57269,0.48841,1.3016,2.8561,1.8158,0.00100303,0.00100303,0.00100303
54,1.2078,2.7833,1.5465,0.84831,0.81926,0.57762,0.48512,1.2608,2.8196,1.8366,0.00099765,0.00099765,0.00099765
55,1.2169,2.7911,1.5876,0.85024,0.81504,0.57993,0.47873,1.2387,2.7972,1.8953,0.00098534,0.00098534,0.00098534
56,1.1844,2.8275,1.5357,0.85345,0.82037,0.5876,0.47828,1.2235,2.8321,1.816,0.0009951,0.0009951,0.0009951
57,1.1933,2.8601,1.5083,0.85084,0.82509,0.59389,0.47956,1.2107,2.9,1.7823,0.00101399,0.00101399,0.00101399
58,1.1657,2.8094,1.4965,0.85315,0.81051,0.5934,0.48852,1.2199,2.9029,1.734,0.00098624,0.00098624,0.00098624
59,1.1281,2.8975,1.5029,0.86125,0.80645,0.60566,0.4892,1.2393,2.9438,1.769,0.00099343,0.00099343,0.00099343
60,1.1192,2.9417,1.5064,0.85313,0.80028,0.60887,0.49419,1.2056,2.8951,1.7571,0.000986,0.000986,0.000986
61,1.0898,2.8879,1.4627,0.85696,0.80649,0.59745,0.49795,1.222,2.9186,1.7295,0.00097546,0.00097546,0.00097546
62,1.095,2.8642,1.509,0.85369,0.808,0.6006,0.49456,1.2376,2.8514,1.7457,0.00100807,0.00100807,0.00100807
63,1.0793,2.8179,1.4933,0.84977,0.80331,0.59262,0.4959,1.2361,2.813,1.6926,0.00100633,0.00100633,0.00100633
64,1.0711,2.8328,1.484,0.85711,0.81095,0.59418,0.48889,1.2162,2.7504,1.6867,0.00100848,0.00100848,0.00100848
65,1.0763,2.8627,1.5028,0.86571,0.8232,0.58087,0.49049,1.2059,2.6114,1.7079,0.00099431,0.00099431,0.00099431
66,1.0309,2.8086,1.5018,0.86826,0.82648,0.58633,0.48323,1.1873,2.5851,1.6889,0.00098855,0.00098855,0.00098855
67,1.0038,2.9906,1.5062,0.88256,0.81685,0.58384,0.48725,1.1213,2.6733,1.7078,0.00101292,0.00101292,0.00101292
68,1.0241,2.9709,1.4597,0.88368,0.81482,0.58394,0.48832,1.1008,2.605,1.7069,0.00099802,0.00099802,0.00099802
69,1.0069,3.0495,1.4502,0.88452,0.80904,0.58891,0.49014,1.067,2.5656,1.6461,0.0009944,0.0009944,0.0009944
70,0.9992,3.0843,1.4589,0.89022,0.8023,0.58481,0.48707,1.0257,2.557,1.641,0.00099455,0.00099455,0.00099455
71,1.0013,2.988,1.4112,0.89627,0.81208,0.58066,0.49026,0.9925,2.4946,1.6342,0.00099071,0.00099071,0.00099071
72,0.9846,2.9531,1.3463,0.89708,0.81397,0.56719,0.49258,0.9956,2.5329,1.6407,0.00100224,0.00100224,0.00100224
73,0.9648,2.9325,1.3332,0.89697,0.82487,0.57541,0.5047,0.9456,2.4044,1.637,0.0010063,0.0010063,0.0010063
74,0.955,2.8576,1.3413,0.90907,0.82926,0.57066,0.51324,0.9582,2.3342,1.6422,0.00102773,0.00102773,0.00102773
75,0.9382,2.9473,1.3285,0.91013,0.82377,0.56797,0.52069,0.9329,2.3785,1.619,0.00100214,0.00100214,0.00100214
76,0.9158,2.972,1.3199,0.90856,0.83372,0.56855,0.52006,0.8994,2.3035,1.5684,0.00099189,0.00099189,0.00099189
77,0.9136,2.9407,1.2799,0.91231,0.8331,0.5753,0.52625,0.9194,2.2753,1.5468,0.00100432,0.00100432,0.00100432
78,0.9329,2.9077,1.2417,0.91811,0.84585,0.57475,0.53162,0.9378,2.2295,1.5874,0.00099674,0.00099674,0.00099674
79,0.9328,2.8188,1.2164,0.91903,0.85044,0.58484,0.53515,0.9245,2.2398,1.6007,0.00100008,0.00100008,0.00100008
80,0.9527,2.7448,1.2202,0.92,0.85847,0.59229,0.53593,0.8797,2.2093,1.5704,0.00100596,0.00100596,0.00100596
81,0.927,2.7889,1.2088,0.92,0.87209,0.58254,0.53639,0.8817,2.1745,1.5163,0.00097978,0.00097978,0.00097978
82,0.872,2.6619,1.1861,0.9191,0.87702,0.5803,0.54432,0.8732,2.16,1.5023,0.00101749,0.00101749,0.00101749
83,0.86,2.6355,1.1435,0.91427,0.87636,0.58264,0.5468,0.8164,2.1479,1.458,0.00099561,0.00099561,0.00099561
84,0.8652,2.5165,1.1325,0.91081,0.8782,0.58803,0.54998,0.8054,2.0946,1.4511,0.00100782,0.00100782,0.00100782
85,0.8754,2.4693,1.1258,0.91111,0.86962,0.59626,0.55053,0.7846,2.1461,1.4805,0.00099689,0.00099689,0.00099689
86,0.8641,2.4067,1.1529,0.91149,0.87549,0.59406,0.55222,0.7845,2.1249,1.4809,0.00099883,0.00099883,0.00099883
87,0.878,2.2768,1.1443,0.91157,0.87486,0.59513,0.55081,0.7905,2.1463,1.4521,0.00100199,0.00100199,0.00100199
88,0.8493,2.2661,1.1592,0.91722,0.88,0.60065,0.55012,0.7904,2.0522,1.4221,0.00098436,0.00098436,0.00098436
89,0.8496,2.2689,1.1283,0.92,0.88,0.59416,0.55258,0.8073,2.0765,1.465,0.000999,0.000999,0.000999
90,0.8444,2.3904,1.141,0.92,0.87628,0.59356,0.55918,0.797,2.117,1.4651,0.00100973,0.00100973,0.00100973
91,0.8016,2.3831,1.1189,0.91928,0.88,0.59416,0.55413,0.8111,2.0463,1.445,0.00099621,0.00099621,0.00099621
92,0.7982,2.3146,1.0953,0.91956,0.88,0.59918,0.56485,0.7763,2.0168,1.398,0.00099263,0.00099263,0.00099263
93,0.7782,2.2822,1.0765,0.92,0.87697,0.59479,0.57176,0.7813,2.0926,1.394,0.00099872,0.00099872,0.00099872
94,0.7723,2.2897,1.0753,0.91663,0.87571,0.59598,0.57778,0.7739,2.1264,1.4094,0.00101098,0.00101098,0.00101098
95,0.7456,2.1686,1.0498,0.92,0.88,0.60541,0.56941,0.7731,2.1363,1.3734,0.00099768,0.00099768,0.00099768
96,0.7231,2.1914,1.0832,0.92,0.87822,0.61546,0.57509,0.7686,2.025,1.3666,0.00100245,0.00100245,0.00100245
97,0.6949,2.1383,1.1156,0.92,0.87625,0.61726,0.57726,0.7747,1.9466,1.3894,0.00098842,0.00098842,0.00098842
98,0.7159,2.1711,1.1375,0.92,0.87573,0.61908,0.57504,0.7473,1.9662,1.3653,0.00100991,0.00100991,0.00100991
99,0.7148,2.1297,1.1676,0.92,0.87807,0.61875,0.57763,0.7547,1.8991,1.3805,0.00099381,0.00099381,0.00099381
100,0.7093,2.1474,1.2074,0.91998,0.874,0.61599,0.59176,0.7959,1.8352,1.3435,0.00010221,0.00010221,0.00010221
101,0.672,2.1479,1.2255,0.92,0.88,0.61378,0.58856,0.7695,1.8136,1.2855,9.948e-05,9.948e-05,9.948e-05
102,0.6665,2.1767,1.2278,0.92,0.88,0.6104,0.59238,0.741,1.7266,1.2852,0.00010079,0.00010079,0.00010079
103,0.6756,2.1883,1.2007,0.91702,0.86321,0.62578,0.5956,0.7008,1.6627,1.2841,9.883e-05,9.883e-05,9.883e-05
104,0.6611,2.1561,1.2033,0.92,0.86529,0.62497,0.59528,0.7118,1.666,1.309,9.919e-05,9.919e-05,9.919e-05
105,0.673,2.1745,1.2051,0.92,0.88,0.62427,0.60159,0.7326,1.664,1.2479,0.00010067,0.00010067,0.00010067
106,0.669,2.1638,1.1892,0.92,0.88,0.62246,0.60351,0.7055,1.7009,1.2446,0.00010321,0.00010321,0.00010321
107,0.6708,2.1223,1.1769,0.92,0.88,0.61361,0.61301,0.7183,1.5958,1.2123,0.00010112,0.00010112,0.00010112
108,0.6823,2.0719,1.1525,0.92,0.88,0.60724,0.6172,0.7351,1.6098,1.1926,9.957e-05,9.957e-05,9.957e-05
109,0.653,2.0043,1.1631,0.92,0.88,0.61594,0.61683,0.7209,1.5321,1.1389,9.967e-05,9.967e-05,9.967e-05
110,0.6778,1.9948,1.1454,0.92,0.8667,0.6193,0.61981,0.7256,1.4837,1.1091,9.906e-05,9.906e-05,9.906e-05
111,0.6645,1.9995,1.1466,0.92,0.87225,0.62863,0.62256,0.7259,1.4883,1.108,9.888e-05,9.888e-05,9.888e-05
112,0.646,1.9746,1.1023,0.92,0.87512,0.63133,0.62255,0.7307,1.4848,1.1418,0.00010131,0.00010131,0.00010131
113,0.639,1.9839,1.0733,0.92,0.86548,0.63026,0.62161,0.7141,1.5376,1.1719,0.00010092,0.00010092,0.00010092
114,0.6034,2.0284,1.0316,0.91984,0.86687,0.62319,0.61812,0.7024,1.5032,1.1853,0.00010056,0.00010056,0.00010056
115,0.5823,2.0373,1.0012,0.92,0.87677,0.62615,0.61812,0.6891,1.434,1.163,0.00010093,0.00010093,0.00010093
116,0.6088,2.0453,0.9484,0.91597,0.88,0.61983,0.61497,0.665,1.4388,1.1803,0.00010046,0.00010046,0.00010046
117,0.616,1.9223,0.9281,0.92,0.87362,0.62085,0.61648,0.6243,1.4346,1.1906,0.0001017,0.0001017,0.0001017
118,0.6212,1.8277,0.9832,0.92,0.87173,0.6209,0.60991,0.5904,1.43,1.1433,9.985e-05,9.985e-05,9.985e-05
119,0.6478,1.7967,0.9532,0.91717,0.86499,0.63178,0.6141,0.5663,1.3953,1.134,9.842e-05,9.842e-05,9.842e-05
120,0.6424,1.7535,0.9716,0.92,0.87547,0.62514,0.61294,0.5658,1.4159,1.1445,0.00010147,0.00010147,0.00010147
121,0.6014,1.6682,0.9605,0.92,0.87956,0.62819,0.61073,0.5698,1.4083,1.1692,9.923e-05,9.923e-05,9.923e-05
122,0.6126,1.6732,0.9027,0.92,0.86979,0.62855,0.6095,0.5437,1.3681,1.1246,0.00010114,0.00010114,0.00010114
123,0.6114,1.6208,0.8869,0.92,0.86225,0.6304,0.61371,0.5653,1.3852,1.1474,9.947e-05,9.947e-05,9.947e-05
124,0.6094,1.6189,0.8851,0.92,0.85697,0.6234,0.61417,0.564,1.4447,1.1102,9.835e-05,9.835e-05,9.835e-05
125,0.6252,1.7223,0.8844,0.92,0.85646,0.62352,0.61765,0.5748,1.4727,1.0713,0.00010051,0.00010051,0.00010051
126,0.596,1.72,0.8773,0.92,0.84197,0.63179,0.61546,0.553,1.435,1.0765,0.00010085,0.00010085,0.00010085
127,0.5743,1.7795,0.8818,0.92,0.84106,0.63722,0.61574,0.5483,1.3836,1.0864,0.00010041,0.00010041,0.00010041
128,0.5653,1.8347,0.8306,0.92,0.84457,0.64653,0.60692,0.5439,1.4171,1.0576,0.0001012,0.0001012,0.0001012
129,0.5538,1.8879,0.7572,0.92,0.85773,0.6372,0.61128,0.5378,1.4212,0.9991,0.00010075,0.00010075,0.00010075
130,0.553,1.8586,0.7702,0.9162,0.83992,0.63517,0.61068,0.559,1.4212,0.9367,9.913e-05,9.913e-05,9.913e-05
131,0.5732,1.8559,0.7911,0.91056,0.84389,0.6398,0.60991,0.5456,1.3987,0.9509,9.989e-05,9.989e-05,9.989e-05
132,0.5532,1.8618,0.7607,0.90455,0.85457,0.64528,0.61259,0.5752,1.3889,0.9559,0.00010116,0.00010116,0.00010116
133,0.5099,1.8667,0.8261,0.91137,0.85818,0.64478,0.61276,0.5835,1.3328,0.9723,0.00010076,0.00010076,0.00010076
134,0.5409,1.9106,0.8077,0.91278,0.86647,0.65391,0.61473,0.5544,1.2857,0.9797,9.863e-05,9.863e-05,9.863e-05
135,0.5352,1.9908,0.7932,0.90409,0.8733,0.65597,0.61677,0.553,1.2993,0.9181,0.00010024,0.00010024,0.00010024
136,0.534,2.0192,0.7451,0.91195,0.86343,0.6538,0.62285,0.5786,1.3117,0.8888,0.00010164,0.00010164,0.00010164
137,0.5035,1.9762,0.7499,0.91277,0.86488,0.65126,0.62271,0.5408,1.2593,0.8927,9.886e-05,9.886e-05,9.886e-05
138,0.4891,1.9381,0.7409,0.91193,0.86774,0.65624,0.62468,0.5512,1.1973,0.863,0.00010028,0.00010028,0.00010028
139,0.477,1.9456,0.6941,0.91368,0.86702,0.65664,0.62586,0.5171,1.23,0.8316,0.00010042,0.00010042,0.00010042
140,0.478,1.9719,0.6596,0.91912,0.86518,0.65892,0.631,0.5098,1.19,0.8363,9.831e-05,9.831e-05,9.831e-05
141,0.4957,1.9265,0.6707,0.92,0.87049,0.65925,0.6361,0.5009,1.2387,0.8308,0.00010077,0.00010077,0.00010077
142,0.5157,1.9953,0.651,0.92,0.86578,0.66703,0.63519,0.488,1.1771,0.8148,9.906e-05,9.906e-05,9.906e-05
143,0.4913,1.9229,0.6419,0.91496,0.86196,0.67027,0.6351,0.5179,1.2214,0.7699,0.00010045,0.00010045,0.00010045
144,0.4867,1.9128,0.6489,0.9197,0.8556,0.6673,0.63771,0.5032,1.214,0.7791,9.925e-05,9.925e-05,9.925e-05
145,0.4979,1.7797,0.5817,0.92,0.8659,0.66191,0.64593,0.4835,1.1924,0.7587,9.735e-05,9.735e-05,9.735e-05
146,0.5292,1.7094,0.492,0.92,0.8386,0.65616,0.64384,0.4943,1.2022,0.7427,0.00010028,0.00010028,0.00010028
147,0.5147,1.6141,0.4687,0.91912,0.8494,0.65172,0.6449,0.492,1.1818,0.7168,9.987e-05,9.987e-05,9.987e-05
148,0.5297,1.5308,0.4411,0.91953,0.83161,0.64936,0.64261,0.4743,1.1712,0.647,9.945e-05,9.945e-05,9.945e-05
149,0.5117,1.4548,0.4,0.92,0.84195,0.65237,0.64643,0.4526,1.1973,0.6821,9.989e-05,9.989e-05,9.989e-05
150,0.4901,1.4573,0.4216,0.92006,0.84206,0.65249,0.64903,0.4369,1.2198,0.6302,9.87e-06,9.87e-06,9.87e-06
151,0.5007,1.3569,0.4,0.92376,0.83497,0.64909,0.6499,0.4303,1.3129,0.5852,9.85e-06,9.85e-06,9.85e-06
152,0.4878,1.3739,0.4,0.92937,0.83404,0.65015,0.64906,0.4311,1.3791,0.5726,9.78e-06,9.78e-06,9.78e-06
153,0.4843,1.3302,0.4,0.92888,0.83377,0.65112,0.65165,0.3969,1.3936,0.5459,9.97e-06,9.97e-06,9.97e-06
154,0.4749,1.4105,0.4202,0.92709,0.83369,0.65032,0.65067,0.3976,1.3997,0.5745,1.022e-05,1.022e-05,1.022e-05
155,0.4726,1.3822,0.4264,0.92907,0.8436,0.64872,0.6528,0.4004,1.4228,0.5597,1e-05,1e-05,1e-05
156,0.4479,1.3859,0.466,0.93086,0.84358,0.65035,0.65213,0.3814,1.3043,0.5183,9.93e-06,9.93e-06,9.93e-06
157,0.4286,1.3653,0.4756,0.93236,0.84348,0.65314,0.65343,0.3781,1.2604,0.49,1.004e-05,1.004e-05,1.004e-05
158,0.4443,1.3308,0.4692,0.92849,0.84457,0.65645,0.65291,0.3847,1.2839,0.4575,1.01e-05,1.01e-05,1.01e-05
159,0.4175,1.358,0.4503,0.92888,0.84715,0.65304,0.65399,0.35,1.2666,0.45,9.87e-06,9.87e-06,9.87e-06
160,0.453,1.3445,0.4686,0.93443,0.84811,0.65414,0.65211,0.35,1.2073,0.45,9.94e-06,9.94e-06,9.94e-06
161,0.4633,1.365,0.4841,0.93968,0.85088,0.65934,0.65047,0.35,1.2198,0.45,9.94e-06,9.94e-06,9.94e-06
162,0.4691,1.3487,0.5197,0.93615,0.84812,0.65873,0.65148,0.35,1.2774,0.45,1.004e-05,1.004e-05,1.004e-05
163,0.4964,1.2734,0.4727,0.93186,0.84726,0.6615,0.64854,0.3708,1.3659,0.45,9.88e-06,9.88e-06,9.88e-06
164,0.541,1.33,0.4972,0.92941,0.83926,0.66603,0.64654,0.3789,1.3807,0.4551,1.012e-05,1.012e-05,1.012e-05
165,0.5205,1.3052,0.482,0.93047,0.83896,0.67045,0.64898,0.35,1.278,0.45,1.005e-05,1.005e-05,1.005e-05
166,0.5209,1.2606,0.4528,0.93136,0.84024,0.66487,0.64721,0.35,1.3595,0.45,9.89e-06,9.89e-06,9.89e-06
167,0.5109,1.2777,0.4258,0.92884,0.84219,0.67409,0.64528,0.35,1.393,0.4623,9.9e-06,9.9e-06,9.9e-06
168,0.4766,1.2847,0.4555,0.92788,0.83786,0.67163,0.64665,0.3747,1.3221,0.45,1.008e-05,1.008e-05,1.008e-05
169,0.4808,1.2981,0.4576,0.92529,0.84156,0.67147,0.64531,0.3993,1.3002,0.4707,1.002e-05,1.002e-05,1.002e-05
170,0.4713,1.3179,0.4522,0.92376,0.84505,0.66972,0.64504,0.392,1.3923,0.4864,9.96e-06,9.96e-06,9.96e-06
171,0.4814,1.3875,0.4446,0.92239,0.84714,0.67183,0.64451,0.4045,1.4635,0.45,9.98e-06,9.98e-06,9.98e-06
172,0.4739,1.292,0.4319,0.9218,0.84687,0.66522,0.64128,0.3798,1.4588,0.4599,9.78e-06,9.78e-06,9.78e-06
173,0.4726,1.3721,0.4572,0.92693,0.84826,0.66425,0.63847,0.3799,1.405,0.45,1.006e-05,1.006e-05,1.006e-05
174,0.4995,1.3661,0.4239,0.92573,0.84691,0.66153,0.63486,0.4061,1.3676,0.45,1.014e-05,1.014e-05,1.014e-05
175,0.4789,1.2993,0.4005,0.92747,0.84234,0.65804,0.639,0.4201,1.3404,0.45,1.006e-05,1.006e-05,1.006e-05
176,0.4523,1.207,0.4054,0.92522,0.8441,0.65947,0.63588,0.4413,1.3603,0.45,9.93e-06,9.93e-06,9.93e-06
177,0.4531,1.1588,0.4555,0.92263,0.84507,0.6583,0.63587,0.4201,1.3541,0.45,9.98e-06,9.98e-06,9.98e-06
178,0.4642,1.1003,0.4681,0.92509,0.84517,0.65895,0.63485,0.4312,1.3126,0.45,1.014e-05,1.014e-05,1.014e-05
179,0.4811,1.0362,0.485,0.92651,0.83557,0.66081,0.63517,0.4297,1.3418,0.45,9.91e-06,9.91e-06,9.91e-06
180,0.5024,1.0739,0.4621,0.9277,0.83811,0.6639,0.63863,0.4572,1.2714,0.4704,1.005e-05,1.005e-05,1.005e-05
181,0.5194,1.0145,0.4413,0.9282,0.84016,0.66331,0.6379,0.4839,1.3003,0.4562,9.99e-06,9.99e-06,9.99e-06
182,0.5188,1.0211,0.45,0.92632,0.84573,0.6597,0.63636,0.5084,1.2764,0.45,1.005e-05,1.005e-05,1.005e-05
183,0.5122,1.062,0.4593,0.92199,0.85026,0.65847,0.63818,0.4907,1.3099,0.45,1.006e-05,1.006e-05,1.006e-05
184,0.5293,1.0065,0.4308,0.92094,0.84319,0.65884,0.63742,0.4827,1.2686,0.45,9.85e-06,9.85e-06,9.85e-06
185,0.539,0.9948,0.4319,0.9222,0.84735,0.65758,0.63616,0.4621,1.2731,0.4537,9.91e-06,9.91e-06,9.91e-06
186,0.5207,1.0254,0.4,0.92118,0.84873,0.65768,0.64073,0.4437,1.1318,0.4609,1.001e-05,1.001e-05,1.001e-05
187,0.5063,1.1044,0.4066,0.92172,0.84903,0.65401,0.6401,0.4204,1.1384,0.4517,1.004e-05,1.004e-05,1.004e-05
188,0.4906,1.2257,0.4456,0.92694,0.84702,0.65355,0.64092,0.4225,1.0967,0.45,9.74e-06,9.74e-06,9.74e-06
189,0.5018,1.2508,0.4389,0.92742,0.84926,0.65319,0.64194,0.4084,1.0818,0.45,1.003e-05,1.003e-05,1.003e-05
190,0.5158,1.2674,0.4113,0.93172,0.85257,0.65658,0.64275,0.3889,1.0293,0.45,9.95e-06,9.95e-06,9.95e-06
191,0.4979,1.2752,0.4519,0.93351,0.85283,0.65676,0.64382,0.4217,0.9997,0.45,1.008e-05,1.008e-05,1.008e-05
192,0.499,1.26,0.4682,0.93071,0.84634,0.662,0.64425,0.4152,0.9883,0.45,1.011e-05,1.011e-05,1.011e-05
193,0.4976,1.256,0.45,0.9276,0.84344,0.66317,0.64546,0.4249,0.9626,0.45,9.84e-06,9.84e-06,9.84e-06
194,0.5013,1.2718,0.5188,0.92939,0.8431,0.66163,0.6454,0.4397,0.8906,0.45,9.98e-06,9.98e-06,9.98e-06
195,0.4777,1.3272,0.556,0.92873,0.84063,0.65954,0.64954,0.4902,0.8688,0.45,1.009e-05,1.009e-05,1.009e-05
196,0.4785,1.298,0.572,0.92424,0.84364,0.66571,0.65123,0.4995,0.8581,0.45,1.002e-05,1.002e-05,1.002e-05
197,0.4439,1.3577,0.5637,0.92658,0.84995,0.66523,0.64969,0.5247,0.8284,0.45,1.005e-05,1.005e-05,1.005e-05
